"전체경로","파일명","확장자","크기KB","수정일","1단계폴더","2단계폴더"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\03_ux_ui_design\00_design_direction_and_ia.md","00_design_direction_and_ia.md","md","10.83","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\03_ux_ui_design\01_screen_layout_spec.md","01_screen_layout_spec.md","md","3.89","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\04_requirements\00_concept_mockup_scope_and_requirements.md","00_concept_mockup_scope_and_requirements.md","md","3.19","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development\00_mockup_development_brief.md","00_mockup_development_brief.md","md","1.16","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development\01_vibe_coding_instruction_concept_mockup.md","01_vibe_coding_instruction_concept_mockup.md","md","17.47","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development\02_ready_to_paste_prompt.md","02_ready_to_paste_prompt.md","md","6.83","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development\03_dark_mode_focus_redesign_instruction.md","03_dark_mode_focus_redesign_instruction.md","md","6.77","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\05_development\04_brand_fixed_borderless_diagnostic_dashboard_instruction.md","04_brand_fixed_borderless_diagnostic_dashboard_instruction.md","md","10.36","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\06_ai_data_security\00_security_ai_rag_policy.md","00_security_ai_rag_policy.md","md","1.83","2026-06-17","Desktop","AX강사준비"
"C:\Users\hyun0\Desktop\AX강사준비\실습\AX수업\[AX워크클리닉]\ax-work-clinic-concept-mockup-docs-v2-dark-focus\docs\07_quality_assurance\00_review_checklists.md","00_review_checklists.md","md","6.1","2026-06-17","Desktop","AX강사준비"
